4/29/2015,2.00E-06,2.00E-06
4/30/2015,2.00E-06,2.00E-06
5/1/2015,2.00E-06,2.00E-06
5/2/2015,2.00E-06,2.00E-06
5/3/2015,2.00E-06,2.00E-06
5/4/2015,2.00E-06,2.00E-06
5/5/2015,2.00E-06,2.00E-06
5/6/2015,2.00E-06,2.00E-06
5/7/2015,2.00E-06,2.00E-06
5/8/2015,2.00E-06,2.00E-06
5/9/2015,2.00E-06,2.00E-06
5/10/2015,2.00E-06,2.00E-06
5/11/2015,2.00E-06,2.00E-06
5/12/2015,2.00E-06,2.00E-06
5/13/2015,2.00E-06,2.00E-06
5/14/2015,2.00E-06,2.00E-06
5/15/2015,2.00E-06,2.00E-06
5/16/2015,2.00E-06,2.00E-06
5/17/2015,2.00E-06,2.00E-06
5/18/2015,2.00E-06,2.00E-06
5/19/2015,2.00E-06,2.00E-06
5/20/2015,2.00E-06,2.00E-06
5/21/2015,2.00E-06,2.00E-06
5/22/2015,2.00E-06,2.00E-06
5/23/2015,2.00E-06,2.00E-06
5/24/2015,2.00E-06,2.00E-06
5/25/2015,2.00E-06,2.00E-06
5/26/2015,2.00E-06,2.00E-06
5/27/2015,2.00E-06,2.00E-06
5/28/2015,0,0
5/29/2015,0,0
5/30/2015,0,0
5/31/2015,0,0
6/1/2015,0,0
6/2/2015,0,0
6/3/2015,0,0
6/4/2015,0,0
6/5/2015,0,0
6/6/2015,0,0
6/7/2015,0,0
6/8/2015,0,0
6/9/2015,0,0
6/10/2015,0,0
6/11/2015,0,0
6/12/2015,0,0
6/13/2015,0,0
6/14/2015,0,0
6/15/2015,0,0
6/16/2015,0,0
6/17/2015,0,0
6/18/2015,0,0
6/19/2015,0,0
6/20/2015,0,0
6/21/2015,0,0
6/22/2015,0,0
6/23/2015,0,0
6/24/2015,0,0
6/25/2015,0,0
6/26/2015,0,0
6/27/2015,0,0
6/28/2015,0,0
6/29/2015,0,0
6/30/2015,0,0
7/1/2015,0,0
7/2/2015,0,0
7/3/2015,0,0
7/4/2015,0,0
7/5/2015,0,0
7/6/2015,0,0
7/7/2015,0,0
7/8/2015,0,0
7/9/2015,0,0
7/10/2015,0,0
7/11/2015,0,0
7/12/2015,0,0
7/13/2015,0,0
7/14/2015,0,0
7/15/2015,0,0
7/16/2015,0,0
7/17/2015,0,0
7/18/2015,0,0
7/19/2015,0,0
7/20/2015,0,0
7/21/2015,0,0
7/22/2015,0,0
7/23/2015,0,0
7/24/2015,0,0
7/25/2015,0,0
7/26/2015,0,0
7/27/2015,0,0
7/28/2015,0,0
7/29/2015,0,0
7/30/2015,0,0
7/31/2015,0,0
8/1/2015,0,0
8/2/2015,0,0
8/3/2015,0,0
8/4/2015,0,0
8/5/2015,0,0
8/6/2015,0,0
8/7/2015,0,0
8/8/2015,0,0
8/9/2015,0,0
8/10/2015,0,0
8/11/2015,0,0
8/12/2015,0,0
8/13/2015,0,0
8/14/2015,0,0
8/15/2015,0,0
8/16/2015,0,0
8/17/2015,0,0
8/18/2015,0,0
8/19/2015,0,0
8/20/2015,0,0
8/21/2015,0,0
8/22/2015,0,0
8/23/2015,0,0
8/24/2015,0,0
8/25/2015,0,0
8/26/2015,0,0
8/27/2015,0,0
8/28/2015,0,0
8/29/2015,0,0
8/30/2015,0,0
8/31/2015,0,0
9/1/2015,0,0
